Key,Id,English(en),Thai(th)
"title",7649021952,"Setting","ตั้งค่า"
"language",466128392192,"Language","ภาษา"
"resolution",597003259904,"Resolution","ขนาดแสดงผล"
"quality",723792875520,"Quality","คุณภาพแสดงผล"
"mastervolume",1082397478912,"Master Volume","เสียงทั้งหมด"
"soundvolume",1191847841792,"Sound Volume","เสียงภายในเกม"
"musicvolume",1405002371072,"Music Volume","เสียงเพลง"
"apply",1623424946176,"Apply","ยืนยัน"
"back",1939016962048,"Back","กลับ"
"fullscreen",6611706499072,"Full Screen","เต็มหน้าจอ"
